Date,District,Active Cases,Total Hospitalized,Home Isolation,Under Observation,Hospitalized Today,Discharged 
21-03-2020,Idukki,1,0,537,537,0,
21-03-2020,Kottayam,2,5,2129,2134,0,
21-03-2020,Alappuzha,0,6,4470,4476,1,
21-03-2020,Ernakulam,12,23,3451,3474,1,
21-03-2020,Thrissur,1,24,6514,6538,4,
21-03-2020,Palakkad,0,21,4089,4110,7,
21-03-2020,Malappuram,2,10,7008,7018,6,
21-03-2020,Kozhikode,0,23,7626,7649,18,
21-03-2020,Wayanad,0,1,888,889,1,
21-03-2020,Kannur,4,38,5149,5187,16,
21-03-2020,Kasaragod,14,15,650,665,9,
21-03-2020,Total,49,228,52785,53013,70,
22-03-2020,Thiruvananthapuram,4,53,4873,4926,10,
22-03-2020,Kollam,0,3,1011,1014,0,
22-03-2020,Pathanamthitta,9,14,4753,4767,2,
22-03-2020,Idukki,1,3,597,600,3,
22-03-2020,Kottayam,2,6,2406,2412,1,
22-03-2020,Alappuzha,0,11,4417,4428,5,
22-03-2020,Ernakulam,12,23,3961,3984,4,
22-03-2020,Thrissur,1,40,8498,8538,19,
22-03-2020,Palakkad,0,25,5084,5109,9,
22-03-2020,Malappuram,4,11,7383,7394,7,
22-03-2020,Kozhikode,2,34,8116,8150,20,
22-03-2020,Wayanad,0,1,1113,1114,0,
22-03-2020,Kannur,10,49,6077,6126,16,
22-03-2020,Kasaragod,19,41,692,733,26,
22-03-2020,Total,64,314,58981,59295,122,
23-03-2020,Thiruvananthapuram,4,51,5426,5477,22,
23-03-2020,Kollam,0,3,1070,1073,0,
23-03-2020,Pathanamthitta,8,15,4565,4580,3,
23-03-2020,Idukki,0,3,640,643,0,
23-03-2020,Kottayam,4,7,2492,2499,1,
23-03-2020,Alappuzha,0,14,4826,4840,3,
23-03-2020,Ernakulam,16,29,4201,4230,8,
23-03-2020,Thrissur,2,44,9292,9336,8,
23-03-2020,Palakkad,0,27,5135,5162,8,
23-03-2020,Malappuram,4,15,9279,9294,11,
23-03-2020,Kozhikode,3,38,8370,8408,12,
23-03-2020,Wayanad,0,4,1436,1440,3,
23-03-2020,Kannur,15,72,6409,6481,23,
23-03-2020,Kasaragod,35,61,796,857,20,
23-03-2020,Total,91,383,63937,64320,122,
24-03-2020,Alappuzha,1,14,4826,4840,3,
24-03-2020,Ernakulam,16,29,4201,4230,8,
24-03-2020,Idukki,1,3,640,643,0,
24-03-2020,Kannur,13,72,6409,6481,23,
24-03-2020,Kasaragod,39,61,796,857,20,
24-03-2020,Kottayam,2,7,2492,2499,1,
24-03-2020,Kozhikode,2,38,8370,8408,12,
24-03-2020,Malappuram,4,15,9279,9294,11,
24-03-2020,Pathanamthitta,10,15,4565,4580,3,
24-03-2020,Thiruvananthapuram,4,51,5426,5477,22,
24-03-2020,Thrissur,3,44,9292,9336,8,
24-03-2020,Total,95,383,63937,64320,122,
